Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-09-13 22:07:48,2022-09-14 23:09:24,UTC+02:00,92,45,91,33.68,98.29,15.7,2941,164,67,2022-09-13 22:07:48,2022-09-14 06:05:35,91,13.9,432,476,241,47,144,44,473,0,90,84
2022-09-12 20:59:30,2022-09-13 22:07:48,UTC+02:00,83,48,91,34.33,95.98,8.0,2028,147,64,2022-09-12 20:59:30,2022-09-13 06:21:52,100,15.1,508,562,263,90,155,54,475,0,90,87
2022-09-11 21:29:11,2022-09-12 20:59:30,UTC+02:00,69,51,90,34.70,96.47,8.9,1971,135,69,2022-09-11 21:29:11,2022-09-12 06:45:18,100,15.9,492,556,194,129,169,64,494,23,88,85
2022-09-10 21:03:11,2022-09-11 21:29:11,UTC+02:00,35,55,76,35.10,95.83,6.1,1838,121,68,2022-09-10 21:03:11,2022-09-11 06:36:36,92,15.5,511,573,313,83,115,62,554,74,89,73
2022-09-09 22:55:08,2022-09-10 21:03:11,UTC+02:00,63,50,81,34.30,95.78,10.4,1997,150,69,2022-09-09 22:55:08,2022-09-10 07:02:03,75,13.8,447,486,244,90,113,39,598,92,91,85
2022-09-08 22:20:58,2022-09-09 22:55:08,UTC+02:00,89,44,91,34.30,96.50,15.4,2772,159,67,2022-09-08 22:20:58,2022-09-09 06:01:26,69,13.1,402,458,173,91,138,56,583,74,88,91
2022-09-07 22:55:03,2022-09-08 22:20:58,UTC+02:00,63,45,78,34.00,96.89,15.8,2777,184,66,2022-09-07 22:55:03,2022-09-08 06:30:35,68,13.4,397,455,212,79,106,58,581,74,87,87
2022-09-06 22:24:14,2022-09-07 22:55:03,UTC+02:00,62,44,77,33.60,97.86,15.6,2884,161,67,2022-09-06 22:24:14,2022-09-07 05:54:37,75,13.0,421,450,198,69,154,29,565,72,93,79
2022-09-05 22:43:25,2022-09-06 22:24:14,UTC+02:00,93,45,93,33.63,96.47,13.3,2486,148,67,2022-09-05 22:43:25,2022-09-06 06:31:35,69,13.2,418,468,177,75,166,50,603,95,91,76
2022-09-04 23:18:28,2022-09-05 22:43:25,UTC+02:00,68,44,82,33.90,97.21,15.7,2854,169,67,2022-09-04 23:18:28,2022-09-05 06:29:37,59,12.6,403,431,154,94,155,28,678,172,95,72
2022-09-03 23:07:23,2022-09-04 23:18:28,UTC+02:00,20,42,94,34.50,96.71,15.4,2841,156,75,2022-09-03 23:07:23,2022-09-04 01:46:00,26,12.5,151,158,98,32,21,7,575,74,95,88
2022-09-02 23:12:09,2022-09-03 23:07:23,UTC+02:00,69,46,80,34.30,97.56,14.7,2754,167,73,2022-09-02 23:12:09,2022-09-03 05:58:18,68,13.2,358,406,174,73,111,48,525,50,90,85
2022-09-01 22:41:48,2022-09-02 23:12:09,UTC+02:00,70,47,81,34.20,97.75,8.5,2023,151,61,2022-09-01 22:41:48,2022-09-02 06:31:24,83,13.2,436,469,221,88,127,33,525,44,94,83
2022-08-31 21:40:43,2022-09-01 22:41:48,UTC+02:00,69,47,80,33.70,98.65,10.6,2190,161,63,2022-08-31 21:40:43,2022-09-01 06:28:45,85,13.4,471,528,267,89,115,57,557,67,90,80
2022-08-30 22:52:46,2022-08-31 21:40:43,UTC+02:00,58,47,77,33.10,95.85,12.8,2225,172,65,2022-08-30 22:52:46,2022-08-31 06:11:08,71,13.1,374,437,168,83,123,63,526,53,85,75
2022-08-29 21:28:37,2022-08-30 22:52:46,UTC+02:00,70,45,81,33.30,97.67,7.6,2021,152,61,2022-08-29 21:28:37,2022-08-30 05:03:19,82,13.2,425,452,232,74,119,27,519,47,96,79
