Cycle start time,Cycle end time,Sleep onset,Wake onset,Respiratory rate (rpm),Asleep duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep debt (min)
2022-05-03 22:13:30,2022-05-04 22:19:57,2022-05-03 22:13:30,2022-05-04 05:53:43,13.3,413,185,100,128,47,74
2022-05-02 22:56:03,2022-05-03 22:13:30,2022-05-02 22:56:03,2022-05-03 05:53:50,13.3,388,161,109,118,29,51
2022-05-01 21:55:35,2022-05-02 22:56:03,2022-05-01 21:55:35,2022-05-02 06:16:47,13.1,479,213,66,200,22,51
2022-04-30 22:10:30,2022-05-01 21:55:35,2022-04-30 22:10:30,2022-05-01 06:29:46,13.3,473,181,100,192,26,98
2022-04-30 00:19:54,2022-04-30 22:10:30,2022-04-30 00:19:54,2022-04-30 06:28:46,13.0,359,181,72,106,10,88
2022-04-28 22:12:01,2022-04-30 00:19:54,2022-04-28 22:12:01,2022-04-29 04:59:56,13.4,358,178,83,97,50,72
2022-04-27 22:23:30,2022-04-28 22:12:01,2022-04-27 22:23:30,2022-04-28 06:06:31,13.4,423,215,81,127,40,72
2022-04-26 22:30:41,2022-04-27 22:23:30,2022-04-26 22:30:41,2022-04-27 06:15:36,13.4,412,204,78,130,50,72
2022-04-25 22:34:06,2022-04-26 22:30:41,2022-04-25 22:34:06,2022-04-26 06:18:58,13.3,409,218,78,113,56,69
2022-04-24 22:13:40,2022-04-25 22:34:06,2022-04-24 22:13:40,2022-04-25 06:16:02,13.4,427,200,86,141,54,70
2022-04-23 23:09:25,2022-04-24 22:13:40,2022-04-23 23:09:25,2022-04-24 06:39:27,13.3,426,189,94,143,24,75
2022-04-22 22:29:52,2022-04-23 23:09:25,2022-04-22 22:29:52,2022-04-23 06:22:32,13.4,418,188,72,158,54,86
2022-04-21 23:06:03,2022-04-22 22:29:52,2022-04-21 23:06:03,2022-04-22 06:33:31,13.7,395,174,79,142,52,84
2022-04-20 23:08:25,2022-04-21 23:06:03,2022-04-20 23:08:25,2022-04-21 06:34:23,13.4,408,198,74,136,38,79
2022-04-19 22:47:45,2022-04-20 23:08:25,2022-04-19 22:47:45,2022-04-20 05:59:14,13.6,392,167,107,118,39,78
2022-04-18 21:59:43,2022-04-19 22:47:45,2022-04-18 21:59:43,2022-04-19 05:56:21,13.6,438,206,101,131,37,72
2022-04-17 22:09:46,2022-04-18 21:59:43,2022-04-17 22:09:46,2022-04-18 06:08:07,13.1,442,137,155,150,36,95
2022-04-17 00:42:05,2022-04-17 22:09:46,2022-04-17 00:42:05,2022-04-17 06:30:42,13.4,313,123,75,115,33,60
2022-04-15 22:31:31,2022-04-17 00:42:05,2022-04-15 22:31:31,2022-04-16 06:15:19,13.2,429,226,99,104,34,67
2022-04-14 22:48:58,2022-04-15 22:31:31,2022-04-14 22:48:58,2022-04-15 06:05:36,13.5,399,185,110,104,37,63
2022-04-13 22:31:19,2022-04-14 22:48:58,2022-04-13 22:31:19,2022-04-14 06:04:19,13.1,428,210,63,155,25,48
