Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain
2022-02-17 21:39:50,68.0,47.0,82.0,19.0
2022-02-16 20:31:44,67.0,47.0,81.0,16.7
2022-02-15 23:30:14,68.0,48.0,80.0,13.3
2022-02-14 20:08:27,84.0,45.0,89.0,16.5
2022-02-13 21:37:00,90.0,45.0,98.0,7.3
2022-02-12 21:04:52,83.0,47.0,83.0,17.1
2022-02-11 22:30:00,68.0,47.0,75.0,17.9
2022-02-10 22:08:17,60.0,53.0,70.0,11.2
2022-02-09 20:34:56,58.0,56.0,72.0,12.1
2022-02-08 21:11:25,54.0,60.0,73.0,4.1
2022-02-07 20:28:59,1.0,78.0,29.0,13.0
2022-02-06 21:37:11,69.0,54.0,84.0,7.3
2022-02-05 23:32:53,77.0,45.0,82.0,19.6
2022-02-05 00:37:46,57.0,49.0,75.0,7.2
2022-02-03 22:37:52,80.0,48.0,87.0,17.8
2022-02-02 21:18:11,95.0,46.0,102.0,14.6
2022-02-01 21:27:11,84.0,53.0,94.0,17.5
2022-01-31 21:47:06,43.0,52.0,64.0,14.6
2022-01-30 22:36:35,59.0,47.0,73.0,11.1
2022-01-29 18:55:06,50.0,56.0,68.0,13.1
2022-01-28 22:04:03,85.0,47.0,83.0,20.6
2022-01-27 21:40:33,84.0,48.0,82.0,10.8
2022-01-26 22:09:48,68.0,49.0,77.0,15.5
2022-01-25 21:56:06,92.0,47.0,85.0,16.5
2022-01-24 20:28:20,74.0,48.0,78.0,17.8
2022-01-23 22:05:44,92.0,46.0,84.0,15.0
2022-01-22 22:38:29,52.0,52.0,72.0,18.2
2022-01-21 22:19:32,84.0,46.0,80.0,20.4
2022-01-20 21:07:55,89.0,45.0,79.0,6.7
2022-01-19 22:54:46,86.0,44.0,78.0,15.3
2022-01-18 23:33:36,70.0,45.0,74.0,12.0
2022-01-17 21:47:02,69.0,46.0,73.0,15.6
2022-01-16 22:04:20,84.0,44.0,76.0,14.0
2022-01-15 22:29:53,79.0,51.0,79.0,9.5
2022-01-14 22:08:17,61.0,46.0,70.0,20.6
2022-01-13 22:29:42,72.0,47.0,73.0,13.6
2022-01-12 23:26:14,62.0,46.0,71.0,15.6
2022-01-11 22:36:37,48.0,49.0,67.0,15.8
2022-01-10 22:21:25,71.0,46.0,73.0,10.6
2022-01-09 22:20:19,62.0,46.0,72.0,16.9
2022-01-08 21:27:36,57.0,45.0,70.0,15.8
2022-01-07 22:42:12,68.0,45.0,74.0,4.3
2022-01-06 22:03:30,73.0,47.0,76.0,15.0
2022-01-05 22:10:44,91.0,48.0,82.0,9.0
2022-01-04 22:16:47,63.0,47.0,72.0,13.3
