Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2021-11-21 21:47:36,4.4,80,125
2021-11-21 21:47:36,4.4,109,126
2021-11-20 22:12:51,6.5,123,149
2021-11-20 22:12:51,14.5,173,192
2021-11-19 23:59:25,11.3,121,174
2021-11-18 22:40:18,5.6,96,137
2021-11-18 22:40:18,11.3,146,172
2021-11-17 22:37:44,4.6,89,133
2021-11-17 22:37:44,12.8,148,177
2021-11-15 22:11:28,4.7,85,143
2021-11-15 22:11:28,8.8,133,155
2021-11-14 22:16:16,6.8,99,162
2021-11-14 22:16:16,5.0,118,149
2021-11-12 22:57:46,12.7,154,188
2021-11-12 22:57:46,19.2,169,194
2021-11-12 22:57:46,6.0,106,132
2021-11-11 21:55:07,8.5,120,160
2021-11-10 22:23:56,7.0,98,141
2021-11-09 22:35:22,4.8,87,121
2021-11-09 22:35:22,4.3,106,125
2021-11-08 20:48:27,12.2,153,192
2021-11-08 20:48:27,11.2,123,159
2021-11-08 20:48:27,4.7,87,122
2021-11-08 20:48:27,13.0,155,177
2021-11-07 22:06:03,8.5,130,160
2021-11-07 22:06:03,4.3,78,117
2021-11-07 22:06:03,4.3,121,155
2021-11-04 22:55:35,5.4,93,127
2021-11-04 22:55:35,13.2,158,178
2021-11-03 21:28:32,4.4,80,129
2021-11-02 21:49:02,16.1,138,179
2021-11-01 21:36:58,9.9,126,192
2021-11-01 21:36:58,4.6,87,117
2021-11-01 21:36:58,5.3,113,129
2021-10-31 23:01:23,5.0,91,124
2021-10-31 23:01:23,13.6,161,175
2021-10-28 22:13:48,5.4,89,135
2021-10-28 22:13:48,4.9,111,133
2021-10-27 22:11:59,10.3,136,183
2021-10-26 21:31:25,9.8,140,169
2021-10-26 21:31:25,5.8,91,136
2021-10-26 21:31:25,12.6,153,171
2021-10-25 22:21:53,9.2,100,170
2021-10-25 22:21:53,4.9,108,137
2021-10-24 23:13:51,11.8,156,195
2021-10-22 23:11:22,20.5,156,170
2021-10-21 22:26:07,4.5,108,127
2021-10-21 22:26:07,9.8,147,184
2021-10-20 22:22:50,4.7,87,119
2021-10-20 22:22:50,4.6,103,140
2021-10-18 22:23:53,5.5,93,133
2021-10-18 22:23:53,4.4,94,123
2021-10-17 22:25:25,4.6,82,132
2021-10-17 22:25:25,4.6,99,127
2021-10-16 23:29:29,4.5,80,110
2021-10-16 23:29:29,4.7,93,116
2021-10-15 22:30:15,13.6,138,176
2021-10-14 21:30:14,5.5,93,134
2021-10-12 21:58:49,15.4,166,190
2021-10-12 21:58:49,8.8,121,150
2021-10-11 22:04:52,6.5,99,142
2021-10-11 22:04:52,14.2,166,183
2021-10-10 21:59:47,6.1,94,148
2021-10-10 21:59:47,8.1,129,150
2021-10-07 23:12:09,4.2,87,122
2021-10-07 23:12:09,11.5,148,165
2021-10-06 22:53:00,11.4,136,164
2021-10-06 22:53:00,10.4,142,165
2021-10-04 23:14:02,5.6,100,132
2021-10-04 23:14:02,12.7,167,186
2021-10-03 21:59:09,4.7,88,120
2021-10-03 21:59:09,12.1,151,167
2021-10-01 22:49:28,16.5,170,183
2021-09-30 21:40:00,10.8,133,172
2021-09-30 21:40:00,17.9,169,188
2021-09-29 01:24:02,6.1,98,129
2021-09-29 01:24:02,11.4,157,190
2021-09-27 22:40:30,15.2,168,189
2021-09-26 22:32:32,7.6,122,193
2021-09-25 22:47:44,8.2,93,160
2021-09-23 21:57:58,5.1,89,140
2021-09-23 21:57:58,12.2,150,167
2021-09-21 20:37:00,11.5,155,195
2021-09-21 20:37:00,14.6,119,172
2021-09-20 21:42:18,4.4,82,119
2021-09-19 21:56:49,5.2,94,144
2021-09-19 21:56:49,12.2,151,170
2021-09-15 22:25:49,18.4,170,182
2021-09-14 21:59:00,4.8,89,145
2021-09-14 21:59:00,12.2,162,180
2021-09-13 21:24:01,8.1,134,154
2021-09-11 21:26:46,5.4,91,143
2021-09-10 23:22:41,19.7,148,166
2021-09-08 22:19:51,13.2,154,182
2021-09-08 22:19:51,6.2,104,148
2021-09-08 22:19:51,12.7,152,171
2021-09-07 21:48:54,15.5,170,188
2021-09-07 21:48:54,8.9,118,165
2021-09-06 22:49:12,5.0,87,129
2021-09-05 23:00:11,5.5,94,139
2021-09-05 23:00:11,12.8,154,172
2021-09-04 23:18:31,12.2,114,164
2021-09-02 22:11:43,10.5,121,173
2021-08-31 21:51:51,16.9,171,186
2021-08-30 21:51:16,7.1,97,139
2021-08-29 22:23:44,4.7,85,127
2021-08-29 22:23:44,8.4,132,151
2021-08-28 22:04:45,9.7,120,176
2021-08-26 23:56:27,5.4,109,146
2021-08-25 22:41:28,17.4,175,188
2021-08-24 23:22:51,7.3,94,165
2021-08-24 23:22:51,8.4,132,149
2021-08-23 23:25:39,4.0,73,110
2021-08-23 23:25:39,6.5,119,137
2021-08-23 01:13:58,5.2,103,144
2021-08-23 01:13:58,7.7,159,197
2021-08-23 01:13:58,12.3,165,189
2021-08-18 21:33:11,7.0,107,151
2021-08-18 21:33:11,12.7,152,170
2021-08-11 23:02:02,4.9,87,138
2021-08-11 23:02:02,13.0,168,185
2021-08-10 22:35:10,7.1,110,154
2021-08-09 22:49:36,5.1,87,135
2021-08-09 22:49:36,8.6,132,148
2021-08-08 21:48:08,20.0,167,181
2021-08-08 21:48:08,8.0,121,158
2021-08-07 22:59:51,7.8,108,161
2021-08-07 22:59:51,11.9,146,171
2021-08-04 22:27:10,5.0,93,120
2021-08-04 22:27:10,11.0,143,162
2021-08-03 22:17:06,5.7,98,143
2021-08-03 22:17:06,13.5,162,174
2021-08-02 22:24:35,5.2,89,122
2021-08-01 23:09:23,13.1,169,187
2021-07-30 23:38:07,4.4,90,134
2021-07-30 23:38:07,11.9,159,174
2021-07-30 23:38:07,9.8,142,155
2021-07-28 22:36:05,4.7,86,121
2021-07-27 22:18:49,20.0,167,184
2021-07-26 22:25:45,5.8,96,153
2021-07-26 22:25:45,7.0,105,145
2021-07-26 22:25:45,13.4,159,174
2021-07-22 23:05:07,10.3,107,153
2021-07-22 23:05:07,14.4,118,163
2021-07-21 23:07:12,6.4,97,146
2021-07-21 23:07:12,11.7,123,174
2021-07-20 23:03:54,5.8,97,126
2021-07-19 23:05:58,15.2,154,191
2021-07-18 23:14:34,14.2,119,187
2021-07-14 22:58:13,14.6,173,186
2021-07-13 22:37:58,6.5,104,139
2021-07-12 22:09:13,5.7,98,160
2021-07-12 22:09:13,6.3,132,156
2021-07-11 23:07:18,7.3,112,139
2021-07-10 22:58:00,13.1,152,175
2021-07-08 21:54:09,8.4,136,160
2021-07-08 21:54:09,4.4,87,124
2021-07-08 21:54:09,9.3,135,154
2021-07-07 23:42:42,16.9,171,186
2021-07-06 22:18:37,4.5,87,128
2021-07-06 22:18:37,7.9,129,148
2021-07-06 22:18:37,5.2,107,131
2021-07-05 22:48:31,5.9,94,144
2021-07-05 22:48:31,6.4,119,134
2021-07-04 22:36:34,6.4,96,134
2021-07-02 23:37:12,19.0,172,188
2021-06-30 23:00:06,12.5,159,195
2021-06-30 23:00:06,5.7,94,128
2021-06-30 23:00:06,13.2,169,187
2021-06-29 23:49:31,8.0,117,155
2021-06-29 23:49:31,13.3,155,175
2021-06-28 23:56:57,18.3,171,186
2021-06-27 23:28:23,8.3,139,168
2021-06-27 00:18:22,11.5,105,150
2021-06-23 22:46:32,5.5,102,142
