Cycle start time,Cycle end time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-08-31 21:40:43,2022-09-01 22:41:48,69.0,47.0,80.0,10.6,2190.0,161.0,63.0,2022-08-31 21:40:43,2022-09-01 06:28:45,85.0,13.4,471.0,528.0,267.0,89.0,115.0,57.0,557.0,67.0,90.0,80.0
2022-08-30 22:52:46,2022-08-31 21:40:43,58.0,47.0,77.0,12.8,2225.0,172.0,65.0,2022-08-30 22:52:46,2022-08-31 06:11:08,71.0,13.1,374.0,437.0,168.0,83.0,123.0,63.0,526.0,53.0,85.0,75.0
2022-08-29 21:28:37,2022-08-30 22:52:46,70.0,45.0,81.0,7.6,2021.0,152.0,61.0,2022-08-29 21:28:37,2022-08-30 05:03:19,82.0,13.2,425.0,452.0,232.0,74.0,119.0,27.0,519.0,47.0,96.0,79.0
2022-08-28 21:10:19,2022-08-29 21:28:37,40.0,47.0,65.0,7.0,1906.0,164.0,62.0,2022-08-28 21:10:19,2022-08-29 06:12:01,84.0,13.3,476.0,542.0,223.0,84.0,169.0,66.0,569.0,56.0,89.0,71.0
2022-08-27 23:21:01,2022-08-28 21:10:19,82.0,45.0,88.0,16.3,2488.0,172.0,65.0,2022-08-27 23:21:01,2022-08-28 07:29:50,81.0,13.1,440.0,489.0,287.0,66.0,87.0,49.0,544.0,60.0,91.0,80.0
2022-08-26 23:06:04,2022-08-27 23:21:01,68.0,46.0,82.0,11.4,2263.0,162.0,61.0,2022-08-26 23:06:04,2022-08-27 06:36:56,74.0,13.4,379.0,448.0,176.0,76.0,127.0,69.0,509.0,29.0,84.0,84.0
2022-08-25 21:51:35,2022-08-26 23:06:04,72.0,45.0,80.0,10.1,2227.0,142.0,64.0,2022-08-25 21:51:35,2022-08-26 06:29:44,90.0,13.1,479.0,518.0,147.0,117.0,215.0,39.0,529.0,38.0,93.0,86.0
2022-08-24 22:09:48,2022-08-25 21:51:35,65.0,47.0,80.0,12.9,2337.0,170.0,66.0,2022-08-24 22:09:48,2022-08-25 06:45:04,87.0,13.4,470.0,515.0,254.0,84.0,132.0,45.0,538.0,53.0,92.0,84.0
2022-08-23 22:47:44,2022-08-24 22:09:48,53.0,49.0,75.0,11.7,2137.0,167.0,62.0,2022-08-23 22:47:44,2022-08-24 06:59:55,82.0,13.2,458.0,492.0,198.0,92.0,168.0,34.0,561.0,68.0,93.0,77.0
2022-08-22 22:05:24,2022-08-23 22:47:44,55.0,48.0,77.0,13.3,2437.0,162.0,70.0,2022-08-22 22:05:24,2022-08-23 05:22:48,77.0,13.5,391.0,437.0,148.0,98.0,145.0,46.0,508.0,38.0,89.0,71.0
2022-08-21 22:35:09,2022-08-22 22:05:24,83.0,47.0,93.0,4.3,1702.0,113.0,58.0,2022-08-21 22:35:09,2022-08-22 07:01:19,87.0,13.5,470.0,504.0,228.0,100.0,142.0,34.0,539.0,67.0,93.0,64.0
2022-08-20 23:57:53,2022-08-21 22:35:09,21.0,67.0,58.0,6.6,1721.0,129.0,72.0,2022-08-20 23:57:53,2022-08-21 08:05:16,71.0,14.9,443.0,487.0,121.0,115.0,207.0,44.0,621.0,79.0,91.0,54.0
2022-08-19 21:38:56,2022-08-20 23:57:53,66.0,45.0,87.0,20.7,8524.0,179.0,99.0,2022-08-19 21:38:56,2022-08-20 04:29:05,66.0,13.3,379.0,410.0,138.0,98.0,143.0,31.0,570.0,97.0,92.0,68.0
2022-08-18 22:46:10,2022-08-19 21:38:56,70.0,46.0,91.0,7.5,1790.0,136.0,64.0,2022-08-18 22:46:10,2022-08-19 04:59:39,58.0,13.5,340.0,373.0,132.0,73.0,135.0,33.0,585.0,76.0,92.0,80.0
2022-08-17 23:03:55,2022-08-18 22:46:10,84.0,44.0,92.0,15.7,2928.0,178.0,72.0,2022-08-17 23:03:55,2022-08-18 05:44:47,67.0,13.2,377.0,401.0,154.0,79.0,144.0,24.0,566.0,69.0,95.0,84.0
2022-08-16 23:50:00,2022-08-17 23:03:55,81.0,46.0,91.0,13.9,2480.0,139.0,72.0,2022-08-16 23:50:00,2022-08-17 07:00:12,70.0,13.6,389.0,430.0,147.0,80.0,162.0,41.0,559.0,58.0,93.0,77.0
2022-08-15 23:14:53,2022-08-16 23:50:00,62.0,46.0,83.0,14.7,2535.0,174.0,67.0,2022-08-15 23:14:53,2022-08-16 06:44:17,75.0,13.4,422.0,447.0,199.0,77.0,146.0,25.0,563.0,65.0,94.0,69.0
2022-08-14 22:53:40,2022-08-15 23:14:53,92.0,44.0,97.0,14.2,2450.0,166.0,64.0,2022-08-14 22:53:40,2022-08-15 06:08:40,72.0,13.2,401.0,432.0,160.0,98.0,143.0,31.0,561.0,90.0,93.0,64.0
2022-08-14 01:32:15,2022-08-14 22:53:40,66.0,51.0,89.0,6.1,1668.0,121.0,61.0,2022-08-14 01:32:15,2022-08-14 08:02:32,61.0,13.7,360.0,390.0,158.0,74.0,128.0,30.0,593.0,72.0,92.0,61.0
2022-08-13 01:34:08,2022-08-14 01:32:15,54.0,46.0,78.0,17.6,2900.0,182.0,70.0,2022-08-13 01:34:08,2022-08-13 08:13:36,69.0,13.7,342.0,399.0,118.0,93.0,131.0,57.0,495.0,14.0,85.0,43.0
2022-08-11 21:03:58,2022-08-13 01:34:08,84.0,47.0,90.0,10.5,2457.0,142.0,65.0,2022-08-11 21:03:58,2022-08-12 06:18:10,95.0,13.5,510.0,550.0,231.0,99.0,180.0,40.0,539.0,8.0,93.0,77.0
2022-08-10 22:02:33,2022-08-11 21:03:58,83.0,46.0,89.0,18.8,3202.0,186.0,72.0,2022-08-10 22:02:33,2022-08-11 06:57:03,97.0,13.5,497.0,534.0,245.0,84.0,168.0,37.0,513.0,2.0,94.0,79.0
2022-08-09 21:56:16,2022-08-10 22:02:33,79.0,46.0,85.0,16.1,2470.0,178.0,64.0,2022-08-09 21:56:16,2022-08-10 06:40:40,99.0,13.5,462.0,524.0,190.0,103.0,169.0,62.0,466.0,44.0,88.0,62.0
2022-08-08 22:39:54,2022-08-09 21:56:16,85.0,44.0,89.0,15.8,2562.0,168.0,62.0,2022-08-08 22:39:54,2022-08-09 07:00:16,85.0,13.1,471.0,500.0,258.0,98.0,115.0,29.0,555.0,69.0,94.0,75.0
2022-08-07 22:08:37,2022-08-08 22:39:54,86.0,46.0,90.0,11.7,2247.0,155.0,66.0,2022-08-07 22:08:37,2022-08-08 06:13:07,70.0,13.6,428.0,481.0,232.0,67.0,129.0,53.0,609.0,90.0,89.0,64.0
2022-08-07 01:51:07,2022-08-07 22:08:37,43.0,46.0,70.0,17.1,2610.0,177.0,71.0,2022-08-07 01:51:07,2022-08-07 08:03:38,61.0,13.2,342.0,370.0,123.0,84.0,135.0,28.0,562.0,47.0,94.0,47.0
2022-08-05 22:22:11,2022-08-07 01:51:07,82.0,44.0,82.0,16.5,3218.0,169.0,69.0,2022-08-05 22:22:11,2022-08-06 06:38:42,84.0,13.2,453.0,495.0,189.0,107.0,157.0,42.0,540.0,68.0,91.0,93.0
